x_um,y_um,contact_factor,electrical_contact_factor,thermal_contact_factor,sigma_s_m,k_w_mk
160.0,4.969012714285714,0.00038875911038183667,0.00038875911038183667,0.041720770624047394,138.8370351271455,23.337661649923792
165.0,4.969012714285714,0.00011175001498526413,0.00011175001498526413,0.02043730751269848,111.16382649702788,21.63498460101588
170.0,4.969012714285714,2.892326749626745e-05,2.892326749626745e-05,0.009311370324114722,102.88943442287712,20.74490962592918
175.0,4.969012714285714,1.4507095552709666e-05,1.4507095552709666e-05,0.0059662453931234325,101.44925884571569,20.477299631449874
180.0,4.969012714285714,3.937024977347224e-05,3.937024977347224e-05,0.008856582524059606,103.93308795236987,20.708526601924767
185.0,4.969012714285714,0.00014115227241977065,0.00014115227241977065,0.018008254469405793,114.1011120147351,21.440660357552463
190.0,4.969012714285714,0.0004413031262478661,0.0004413031262478661,0.03392779156475692,144.08618231216184,22.714223325180555
195.0,4.969012714285714,0.001179368068236895,0.001179368068236895,0.05582952338946024,217.8188700168658,24.46636187115682
200.0,4.969012714285714,0.002698076691089834,0.002698076691089834,0.0809314108087925,369.5378614398744,26.4745128647034
205.0,4.969012714285714,0.005294749072982624,0.005294749072982624,0.10565670946160237,628.9454323909641,28.45253675692819
210.0,4.969012714285714,0.00892850006003122,0.00892850006003122,0.12738812131569355,991.9571559971189,30.191049705255484
215.0,4.969012714285714,0.012958863796991339,0.012958863796991339,0.14463720152136736,1394.5904933194347,31.57097612170939
220.0,4.969012714285714,0.016229747205357106,0.016229747205357106,0.15589880559840444,1721.3517458151748,32.471904447872355
225.0,4.969012714285714,0.017643072085612468,0.017643072085612468,0.1598443264964567,1862.5429013526855,32.78754611971654
230.0,4.969012714285714,0.01688749717946516,0.01688749717946516,0.1576176572707682,1787.0609682285694,32.60941258166146
235.0,4.969012714285714,0.01467266520607585,0.01467266520607585,0.15410916162720936,1565.7992540869775,32.32873293017675
240.0,4.969012714285714,0.012169221080801108,0.012169221080801108,0.15547506895918292,1315.7051859720307,32.438005516734634
245.0,4.969012714285714,0.01013739414154014,0.01013739414154014,0.16481787915338286,1112.72567473986,33.18543033227063
250.0,4.969012714285714,0.008555319911468249,0.008555319911468249,0.180045589297217,954.676459155678,34.40364714377736
255.0,4.969012714285714,0.007001340856904122,0.007001340856904122,0.19506257358890045,799.4339516047219,35.605005887112036
260.0,4.969012714285714,0.005269600737319083,0.005269600737319083,0.20284149894069467,626.4331136581764,36.22731991525558
265.0,4.969012714285714,0.0036060700201408728,0.0036060700201408728,0.19925775528846965,460.2463950120732,35.940620423077576
270.0,4.969012714285714,0.002508185577930534,0.002508185577930534,0.18621757432744765,350.5677392352604,34.89740594619581
275.0,4.969012714285714,0.002449498017877745,0.002449498017877745,0.1711614952285805,344.7048519859867,33.69291961828644
280.0,4.969012714285714,0.003760185935877349,0.003760185935877349,0.16221225274353437,475.64257499414714,32.97698021948275
285.0,4.969012714285714,0.006585397203706973,0.006585397203706973,0.16315331452852433,757.8811806503265,33.05226516228195
290.0,4.969012714285714,0.010820330177354115,0.010820330177354115,0.17283105681564215,1180.9509847176762,33.826484545251375
295.0,4.969012714285714,0.01610773274031948,0.01610773274031948,0.1884642775059276,1709.162500757916,35.077142200474206
300.0,4.969012714285714,0.02199677259185399,0.02199677259185399,0.2087468919628328,2297.4775819262136,36.69975135702663
305.0,4.969012714285714,0.028146580033601713,0.028146580033601713,0.23416201752663002,2911.843345356811,38.7329614021304
310.0,4.969012714285714,0.0343568949259109,0.0343568949259109,0.2651452292220759,3532.2538030984992,41.21161833776607
315.0,4.969012714285714,0.04038889169329895,0.04038889169329895,0.3000335799450625,4134.850280160565,44.002686395605004
320.0,4.969012714285714,0.045757382709786715,0.045757382709786715,0.3341827625285243,4671.162532707693,46.73462100228194
325.0,4.969012714285714,0.04971178597421864,0.04971178597421864,0.3608336210756306,5066.207418824442,48.86668968605045
330.0,4.969012714285714,0.05149093489012615,0.05149093489012615,0.3736812069835638,5243.944395523602,49.894496558685105
335.0,4.969012714285714,0.050705158085650785,0.050705158085650785,0.3699728767479576,5165.4452927565135,49.5978301398366
340.0,4.969012714285714,0.04754894072723618,0.04754894072723618,0.3520348655030764,4850.139178650894,48.16278924024611
345.0,4.969012714285714,0.042698697119620786,0.042698697119620786,0.32611593614319995,4365.599842250116,46.089274891456
350.0,4.969012714285714,0.037048407072495855,0.037048407072495855,0.2995969304784264,3801.135866542336,43.96775443827411
355.0,4.969012714285714,0.03149842891092993,0.03149842891092993,0.2784051472543752,3246.6930482019,42.27241178035001
360.0,4.969012714285714,0.02681156356899637,0.02681156356899637,0.26545527990625073,2778.4752005427376,41.23642239250006
365.0,4.969012714285714,0.02340433936514874,0.02340433936514874,0.25978803460776984,2438.093502578359,40.783042768621584
370.0,4.969012714285714,0.021085563905639895,0.021085563905639895,0.25620189172931107,2206.4478341734257,40.49615133834489
375.0,4.969012714285714,0.01904868614826679,0.01904868614826679,0.24641533570602117,2002.9637462118524,39.7132268564817
380.0,4.969012714285714,0.016376332298182996,0.016376332298182996,0.22290179775810381,1735.9955965884812,37.832143820648305
385.0,4.969012714285714,0.012751905298167257,0.012751905298167257,0.18385972936036832,1373.915339286909,34.70877834882947
390.0,4.969012714285714,0.008694862739159965,0.008694862739159965,0.1352073571561991,968.6167876420806,30.81658857249593
395.0,4.969012714285714,0.0050909715315460005,0.0050909715315460005,0.08730882528896876,608.5880560014455,26.9847060231175
400.0,4.969012714285714,0.002533203393464194,0.002533203393464194,0.04900907730441431,353.067019007073,23.920726184353146
0.0,9.938025428571429,0.01476941671894125,0.01476941671894125,0.11190682947442569,1575.4647302222309,28.952546357954056
5.0,9.938025428571429,0.022150317894893065,0.022150317894893065,0.17240013567311346,2312.816757699817,33.79201085384908
10.0,9.938025428571429,0.028934741831870538,0.028934741831870538,0.23513119478211753,2990.5807090038666,38.8104955825694
15.0,9.938025428571429,0.033257124920706094,0.033257124920706094,0.2892628302469212,3422.3867795785386,43.14102641975369
20.0,9.938025428571429,0.03426427629016446,0.03426427629016446,0.3296910201897745,3523.0012013874293,46.37528161518196
25.0,9.938025428571429,0.03270733831533782,0.03270733831533782,0.35961334194762384,3367.4630977022484,48.76906735580991
