stage_id,i,j,x_um,y_um,normal_force_n,material_i,material_j,contact_type,reduced_radius_um,reduced_modulus_gpa,contact_radius_um,contact_radius_fraction,hertz_warning,electrical_resistance_ohm,electrical_conductance_s,thermal_constriction_resistance_k_w,thermal_interface_resistance_k_w,thermal_resistance_k_w,thermal_conductance_w_k,al_al_resistance_multiplier
stage5_rho095,13,75,353.474,44.3427,0.0119725614,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,1.8041662654166062,0.13878202041666202,False,1.3856816014807352e+18,7.216665061666425e-19,687.3188628066657,1222.3822197242314,1909.701082530897,0.000523642160099064,1.0
stage5_rho095,13,32,385.694,62.0596,0.113092045,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,3.8138026792493025,0.29336943686533096,True,6.555137248191594e+17,1.5255210716997208e-18,325.14464175277567,273.5543979167934,598.6990396695691,0.00167028829802686,1.0
stage5_rho095,13,8,365.537,61.4332,1.17584193,Diamond,Diamond,Diamond-Diamond,14.857142857142856,151.51515151515153,4.422112772074609,0.18425469883644202,False,1.1306812507303558e+18,8.844225544149218e-19,83.7541667207671,0.0,83.7541667207671,0.011939704484601445,1.0
stage5_rho095,36,72,10.3845,62.6554,0.29575086,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.982627227536506,0.4602020944258851,True,0.002214746046521774,451.5190360404911,352.6384916044541,0.0,352.6384916044541,0.0028357653058523045,1.0
stage5_rho095,72,74,9.15123,83.8898,0.17501237300000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.022726406040936,0.38636356969545665,True,0.0026380095049700404,379.0736910219575,420.0317657782088,0.0,420.0317657782088,0.002380772316463404,1.0
stage5_rho095,72,15,19.8175,77.2733,0.42570608800000004,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,5.932678592758966,0.4563598917506897,True,4.2139481532866694e+17,2.3730714371035863e-18,209.01815031304713,113.0468586899539,322.065009003001,0.003104963197013066,1.0
stage5_rho095,50,15,57.5144,71.6233,0.133444178,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,4.030083805166762,0.31000644655128945,True,6.203344944824421e+17,1.6120335220667048e-18,307.6952157348446,244.98076452086923,552.6759802557139,0.0018093784346070493,1.0
stage5_rho095,50,31,71.0278,74.7583,0.14658558800000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.7345680413015305,0.36419754163857926,True,0.0027985657581462453,357.32588990954946,445.5960127611249,0.0,445.5960127611249,0.0022441852515769256,1.0
stage5_rho095,67,10,118.807,62.6241,0.194719895,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,4.5710675859182475,0.35162058353217285,True,5.4691818771211494e+17,1.828427034367299e-18,271.2796261600645,190.42539057920848,461.705016739273,0.0021658850645859557,1.0
stage5_rho095,10,31,86.533,84.3352,0.309122542,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,5.332420946947021,0.41018622668823246,True,4.6883020393041715e+17,2.1329683787788086e-18,232.54681470153835,139.93014649195615,372.4769611934945,0.0026847298066323077,1.0
stage5_rho095,10,39,103.829,102.079,0.7093055330000001,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,7.033292020872407,0.5410224631440314,True,3.5545232482610624e+17,2.813316808348963e-18,176.30968573184268,80.4345879023571,256.74427363419977,0.003894926207486773,1.0
stage5_rho095,10,1,128.947,93.5492,1.1218958900000002,Diamond,Diamond,Diamond-Diamond,14.857142857142856,151.51515151515153,4.353424513781185,0.18139268807421605,False,1.1485211203667406e+18,8.706849027562371e-19,85.07563854568448,0.0,85.07563854568448,0.0117542461872092,1.0
stage5_rho095,71,37,210.725,76.1942,0.0375437864,Al,Al,Al-Al,6.500000000000001,6.733251038042868,3.006740595285507,0.23128773809888514,False,0.004406765259622219,226.9238185121137,701.6583487974235,0.0,701.6583487974235,0.0014251950421653302,1.0
stage5_rho095,71,1,189.5,85.9569,0.189722806,Al,Diamond,Al-Diamond,9.75,12.893521005694637,4.756322514678128,0.3658709626675483,True,5.256161650697443e+17,1.9025290058712508e-18,260.7135033491746,175.88044246725462,436.5939458164292,0.00229045778023789,1.0
stage5_rho095,71,48,204.594,85.1624,0.352704779,Al,Al,Al-Al,6.500000000000001,6.733251038042868,6.344348812795729,0.48802683175351763,True,0.002088472811153836,478.81877832420605,332.53288928490343,0.0,332.53288928490343,0.003007221337265176,1.0
stage5_rho095,70,37,219.863,65.7274,0.3716906380000001,Al,Al,Al-Al,6.500000000000001,6.733251038042868,6.456202523512044,0.4966309633470803,True,0.002052290019054772,487.26056781222974,326.7717568752125,0.0,326.7717568752125,0.003060239996144709,1.0
stage5_rho095,70,2,229.31,55.1663,0.100356493,Al,Diamond,Al-Diamond,9.75,12.893521005694637,3.846625808142654,0.29589429293405034,True,6.49920248210243e+17,1.5386503232570616e-18,322.3701934394923,268.905854838313,591.2760482778053,0.0016912574133734564,1.0
