% x_um y_um sigma_s_m k_w_mk
230 19.8760508571 100000 43.0838585018
235 19.8760508571 100000 42.1336143855
240 19.8760508571 100000 41.9807483941
245 19.8760508571 87452.0072198 42.7240909831
250 19.8760508571 65789.2412785 44.1480075453
255 19.8760508571 50351.8417812 45.7745331118
260 19.8760508571 37091.3026695 46.9411400598
265 19.8760508571 26514.9287484 47.141986714
270 19.8760508571 22636.7247533 46.538982221
275 19.8760508571 31164.1632939 46.0416200577
280 19.8760508571 58400.2884337 46.665402799
285 19.8760508571 100000 48.7682842173
290 19.8760508571 100000 51.9415425661
295 19.8760508571 100000 55.5531819093
300 19.8760508571 100000 59.2852461247
305 19.8760508571 100000 63.1612711495
310 19.8760508571 100000 67.1723354964
315 19.8760508571 100000 71.0038782018
320 19.8760508571 100000 74.1657191331
325 19.8760508571 100000 76.2929304577
330 19.8760508571 100000 77.2228051989
335 19.8760508571 100000 76.8674864656
340 19.8760508571 100000 75.2217229394
345 19.8760508571 100000 72.5549949372
350 19.8760508571 100000 69.4242304174
355 19.8760508571 100000 66.3344400696
360 19.8760508571 100000 63.414246766
365 19.8760508571 100000 60.4772813444
370 19.8760508571 100000 57.2833393592
375 19.8760508571 100000 53.6101332518
380 19.8760508571 100000 49.1895494581
385 19.8760508571 100000 43.8497258154
390 19.8760508571 66673.3292473 37.8419835463
395 19.8760508571 38261.6671871 31.9239104532
400 19.8760508571 18880.855149 26.9847310094
0 24.8450635714 100000 33.3116415364
5 24.8450635714 100000 39.6856098857
10 24.8450635714 100000 45.6771894915
15 24.8450635714 100000 50.1030638822
20 24.8450635714 100000 52.5204381675
25 24.8450635714 100000 53.3548862253
30 24.8450635714 100000 53.4773558621
35 24.8450635714 100000 53.6844438966
40 24.8450635714 100000 54.48456824
45 24.8450635714 100000 56.1396262412
50 24.8450635714 100000 58.6592198877
55 24.8450635714 100000 61.6708990704
60 24.8450635714 100000 64.4099500757
65 24.8450635714 100000 66.0125509327
70 24.8450635714 100000 65.9508039759
75 24.8450635714 100000 64.2882140429
80 24.8450635714 100000 61.617493259
85 24.8450635714 100000 58.7833603134
90 24.8450635714 100000 56.5668372767
95 24.8450635714 100000 55.4637864111
100 24.8450635714 100000 55.6063219213
105 24.8450635714 100000 56.7884436104
110 24.8450635714 100000 58.5395453601
115 24.8450635714 100000 60.2389055731
120 24.8450635714 100000 61.265286505
125 24.8450635714 100000 61.105433706
130 24.8450635714 100000 59.3587923982
135 24.8450635714 100000 55.737213692
140 24.8450635714 100000 50.2267783715
145 24.8450635714 95277.7620938 43.344197524
150 24.8450635714 45171.4373667 36.1541383326
155 24.8450635714 18314.8400131 29.8624817827
160 24.8450635714 6367.33171271 25.2582165351
165 24.8450635714 1939.37468079 22.4610181926
170 24.8450635714 603.446228791 21.1234860593
175 24.8450635714 444.130355431 20.8481899603
180 24.8450635714 1164.29328984 21.5039286088
185 24.8450635714 3816.15368941 23.2821814523
190 24.8450635714 11207.2742788 26.4797103552
195 24.8450635714 28151.4860167 31.1081538418
200 24.8450635714 60001.0595186 36.5851472357
205 24.8450635714 100000 41.8073567701
210 24.8450635714 100000 45.642773435
215 24.8450635714 100000 47.488926928
220 24.8450635714 100000 47.4792037241
225 24.8450635714 100000 46.2628680214
230 24.8450635714 100000 44.6142014611
235 24.8450635714 100000 43.138155769
240 24.8450635714 94869.2445844 42.172511845
245 24.8450635714 63450.6786251 41.8424268014
250 24.8450635714 44549.0977313 42.1226141614
255 24.8450635714 32634.1260302 42.7874656579
260 24.8450635714 23671.3712154 43.3831791209
265 24.8450635714 17309.5401303 43.5081603568
270 24.8450635714 16247.8727786 43.3035710706
275 24.8450635714 25119.126763 43.5680354
280 24.8450635714 49875.9671534 45.1950240772
285 24.8450635714 96976.3388092 48.4526185218
290 24.8450635714 100000 52.8370004362
295 24.8450635714 100000 57.5713473118
300 24.8450635714 100000 62.1767455156
305 24.8450635714 100000 66.5758174117
310 24.8450635714 100000 70.744299061
315 24.8450635714 100000 74.4076535809
320 24.8450635714 100000 77.1537837279
325 24.8450635714 100000 78.7397241498
330 24.8450635714 100000 79.1401343193
335 24.8450635714 100000 78.3571975713
340 24.8450635714 100000 76.4064191891
345 24.8450635714 100000 73.5403686877
350 24.8450635714 100000 70.2661033465
355 24.8450635714 100000 66.9662527419
360 24.8450635714 100000 63.5970051744
365 24.8450635714 100000 59.8909339883
370 24.8450635714 100000 55.7539212154
375 24.8450635714 100000 51.2957451927
380 24.8450635714 96966.2954093 46.5516815072
385 24.8450635714 67990.6317549 41.4240297631
390 24.8450635714 43692.3763305 35.990052184
395 24.8450635714 24815.0133166 30.7330767322
400 24.8450635714 12193.5513108 26.3347926878
0 29.8140762857 100000 33.4735072826
5 29.8140762857 100000 39.9507456259
10 29.8140762857 100000 45.9784862279
15 29.8140762857 100000 50.2110082897
20 29.8140762857 100000 52.01328109
25 29.8140762857 100000 51.7152774395
30 29.8140762857 100000 50.3181064306
35 29.8140762857 95776.5560132 48.9847527366
40 29.8140762857 78298.1829196 48.6901503355
45 29.8140762857 75810.1794228 50.0830994523
50 29.8140762857 81527.4060466 53.3436875311
55 29.8140762857 89438.9788679 57.941458451
60 29.8140762857 94897.072151 62.5564868334
65 29.8140762857 95589.1327223 65.5065744066
70 29.8140762857 91942.132378 65.5994001439
75 29.8140762857 85903.8866034 62.8280658593
80 29.8140762857 79576.6167038 58.365353342
85 29.8140762857 75408.6374366 53.8913251632
90 29.8140762857 77193.2075305 50.7909755199
95 29.8140762857 90228.5264859 49.7128765348
100 29.8140762857 100000 50.5647138232
105 29.8140762857 100000 52.7360746689
110 29.8140762857 100000 55.3757874684
115 29.8140762857 100000 57.6670660618
120 29.8140762857 100000 59.0166578688
125 29.8140762857 100000 59.0418534137
130 29.8140762857 100000 57.4135390808
135 29.8140762857 100000 53.8334971486
140 29.8140762857 100000 48.3102916096
