scenario_id,model,edge_id,i,j,x_um,y_um,z_um,normal_force_n,contact_radius_um,clean_resistance_ohm,source,film_resistance_ohm,resistance_ohm,included_in_transport,delta_v_fixed_voltage,abs_current_a_fixed_voltage,joule_power_w_fixed_voltage,delta_v_fixed_current,abs_current_a_fixed_current,joule_power_w_fixed_current,electric_field_v_m,exceeds_4e8_v_m,exceeds_5e8_v_m,is_shortest_path_edge,joule_rank
partial_f1e-12,partial_rupture,18,47,67,175.013,91.4122,-21.4151,0.00046001520800000007,0.6931714511700242,0.019115039976956554,liggghts_pair_gran_local,7949687153.6544075,19114.99401491205,True,-0.0009981079466296755,5.2215969612704475e-08,5.2117174211413994e-11,-146.48656198986035,0.007663437502286571,1.1225906127341223,83175.66221913963,False,False,False,26
partial_f1e-12,partial_rupture,19,47,23,163.106,85.5311,0.155074,0.00035186322400000003,0.6339298913836758,0.020901364930243763,liggghts_pair_gran_local,9504929778.694782,20901.318968189815,True,0.002431123288133899,1.1631434800042428e-07,2.827745201679421e-10,356.80198064223214,0.017070787790246972,6.090890894683353,202593.60734449158,False,False,False,22
partial_f1e-12,partial_rupture,20,47,33,174.228,91.5912,0.51013,0.00018966945800000002,0.515920049375882,0.02568227386400038,liggghts_pair_gran_local,14350484448.161793,25682.227901927617,True,-0.0009981079466296755,3.886376020184608e-08,3.8790227893372695e-11,-146.48656198986035,0.005703810531907381,0.835531595060669,83175.66221913963,False,False,False,27
partial_f1e-12,partial_rupture,21,67,80,188.644,92.0488,-20.9088,0.000718662973,0.8043128878926922,0.016473688535210633,liggghts_pair_gran_local,5904475406.650502,16473.64257318385,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,41
partial_f1e-12,partial_rupture,22,80,33,187.859,92.2277,1.01643,0.000840502458,0.8474152339990715,0.015635782162507734,liggghts_pair_gran_local,5319108377.847302,15635.736200487823,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,42
partial_f1e-12,partial_rupture,23,59,32,154.34,12.5081,9.36828,0.00553977086,1.5888413659129865,0.008339410267296402,liggghts_pair_gran_local,1513109286.8749914,8339.364305394698,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,43
partial_f1e-12,partial_rupture,24,59,21,145.288,12.4795,20.2597,0.006452162260000001,1.6716744239751171,0.007926184554820482,liggghts_pair_gran_local,1366872409.9004943,7926.138592931985,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,44
partial_f1e-12,partial_rupture,25,32,95,178.856,12.7784,15.0207,0.003914022540000001,1.4151127542129944,0.009363211490075856,liggghts_pair_gran_local,1907432960.1997278,9363.165528146454,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,45
partial_f1e-12,partial_rupture,26,32,70,168.564,19.5135,21.3985,0.0014660368399999999,1.0200737356508063,0.012989257086936476,liggghts_pair_gran_local,3670863552.749435,12989.211124944091,True,-0.018466247188404977,1.4216604080707372e-06,2.6252732513402923e-08,-2710.1848779168354,0.2086489203884197,565.4771488303687,1538853.9323670815,False,False,False,10
partial_f1e-12,partial_rupture,27,21,48,138.831,20.6055,32.3884,0.0034975065000000002,1.363021734908054,0.009721048212700593,liggghts_pair_gran_local,2056012785.1169174,9721.002250762886,True,-0.0001574921241110591,1.620122288303137e-08,2.551565005045307e-12,-23.114213126357562,0.0023777602895363598,0.05496005809573309,13124.343675921591,False,False,False,29
partial_f1e-12,partial_rupture,28,21,70,159.512,19.4849,32.2899,0.005405775000000001,1.5759263831438555,0.008407753142356332,liggghts_pair_gran_local,1538011280.6131861,8407.70718045257,True,-0.018466247188404977,2.1963475644510944e-06,4.055829703680514e-08,-2710.1848779168354,0.3223452981590341,873.6153525382076,1538853.9323670815,False,False,False,8
partial_f1e-12,partial_rupture,29,95,41,192.47,23.6515,25.8561,0.00421840554,1.4508840753800303,0.009132362967406217,liggghts_pair_gran_local,1814537489.185961,9132.317005482519,True,-0.029035647832321782,3.179439326831345e-06,9.231708059810917e-08,-4261.395012901604,0.46662802116300905,1988.4863222641907,2419637.3193601486,False,False,True,3
partial_f1e-12,partial_rupture,30,73,79,336.581,13.0098,20.6203,2.83818369e-07,0.05901061005685624,0.22453589256633227,liggghts_pair_gran_local,1096910426155.7323,224535.84660418666,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,46
partial_f1e-12,partial_rupture,31,48,75,139.476,33.934,27.2748,1.9162817400000002e-08,0.024029038404777617,0.5514161564353546,liggghts_pair_gran_local,6615437797518.444,551416.1104732034,True,-0.008933615307070614,1.6201222883031366e-08,1.447354927411117e-10,-1311.1353304937772,0.0023777602895363593,3.1175655230562334,744467.9422558845,False,False,False,25
