% x_um y_um sigma_s_m k_w_mk
160 19.8760508571 10171.5431536 27.4113480029
165 19.8760508571 5377.10647504 23.5370557374
170 19.8760508571 2986.76251936 21.6054646621
175 19.8760508571 2389.2174068 21.1225999247
180 19.8760508571 3302.18050088 21.8603478795
185 19.8760508571 5902.94274271 23.9619739335
190 19.8760508571 10502.5154241 27.6788003427
195 19.8760508571 16977.6941814 32.9112680254
200 19.8760508571 24391.4303907 38.9021659723
205 19.8760508571 31202.379775 44.4059634545
210 19.8760508571 35995.0789209 48.2788516533
215 19.8760508571 38157.3834016 50.0261684053
220 19.8760508571 38020.2660757 49.9153665258
225 19.8760508571 36529.0980483 48.7103822612
230 19.8760508571 34806.6276009 47.3184869502
235 19.8760508571 33806.7162631 46.5104777884
240 19.8760508571 34106.6390695 46.7528396521
245 19.8760508571 35873.3235703 48.1804634912
250 19.8760508571 38885.8835552 50.6148553981
255 19.8760508571 42421.4734112 53.471897706
260 19.8760508571 45243.0949244 55.7519958985
265 19.8760508571 46232.7447755 56.5517129499
270 19.8760508571 45438.9734559 55.9102815805
275 19.8760508571 44340.915826 55.0229622837
280 19.8760508571 44751.7395417 55.3549410438
285 19.8760508571 47437.3496344 57.5251310177
290 19.8760508571 51855.1457793 61.0950672964
295 19.8760508571 57028.0736803 65.2752110548
300 19.8760508571 62420.8054678 69.6329741154
305 19.8760508571 67991.7339544 74.1347345086
310 19.8760508571 73648.6444011 78.7059752736
315 19.8760508571 78915.8473789 82.9623009122
320 19.8760508571 83201.5507263 86.4254955364
325 19.8760508571 86210.5845437 88.8570380151
330 19.8760508571 87908.7404153 90.2292851841
335 19.8760508571 88188.5858795 90.455422933
340 19.8760508571 86863.4961688 89.3846433687
345 19.8760508571 84063.859338 87.1223105762
350 19.8760508571 80384.1735826 84.1488271375
355 19.8760508571 76428.7005491 80.9524852922
360 19.8760508571 72318.7491703 77.6313124608
365 19.8760508571 67786.1972701 73.9686442587
370 19.8760508571 62574.3472893 69.7570483146
375 19.8760508571 56497.4231546 64.8464025492
380 19.8760508571 49243.637159 58.9847573002
385 19.8760508571 40543.0933743 51.9540148479
390 19.8760508571 30733.8894329 44.0273854003
395 19.8760508571 20993.7108883 36.1565340512
400 19.8760508571 12785.5564194 29.5236819551
0 24.8450635714 22272.1329378 37.189602374
5 24.8450635714 32651.6236184 45.5770695907
10 24.8450635714 42616.879197 53.6298013713
15 24.8450635714 50270.1921095 59.8142966541
20 24.8450635714 54807.8197179 63.4810664387
25 24.8450635714 56757.0118573 65.0561711978
30 24.8450635714 57360.7095476 65.5440077153
35 24.8450635714 57768.4446559 65.873490631
40 24.8450635714 58639.7334192 66.577562359
45 24.8450635714 60149.278212 67.797396535
50 24.8450635714 62075.0599358 69.3535837865
55 24.8450635714 63916.5787276 70.8416797799
60 24.8450635714 65181.4373817 71.8637877832
65 24.8450635714 65692.6516988 72.2768902617
70 24.8450635714 65569.9334093 72.1777239671
75 24.8450635714 64928.9598095 71.6597655026
80 24.8450635714 63755.1747123 70.7112522928
85 24.8450635714 62132.4606689 69.3999682173
90 24.8450635714 60470.8661826 68.0572656021
95 24.8450635714 59393.5672431 67.1867210045
100 24.8450635714 59375.0179241 67.1717316558
105 24.8450635714 60441.5651649 68.0335880121
110 24.8450635714 62136.376421 69.4031324614
115 24.8450635714 63741.5326247 70.7002283836
120 24.8450635714 64561.9465155 71.3631891035
125 24.8450635714 64018.2027094 70.9238001692
130 24.8450635714 61513.8421036 68.9000744272
135 24.8450635714 56396.5209642 64.7648654256
140 24.8450635714 48337.179812 58.2522665147
145 24.8450635714 37916.8266951 49.8317791476
150 24.8450635714 26750.6387923 40.8085970039
155 24.8450635714 16813.217236 32.7783573624
160 24.8450635714 9461.62068921 26.8376732842
165 24.8450635714 4964.01310148 23.2032429103
170 24.8450635714 2801.54406153 21.455793181
175 24.8450635714 2344.25376563 21.0862656692
180 24.8450635714 3370.48621111 21.915544413
185 24.8450635714 6162.0239669 24.1713324985
190 24.8450635714 11152.9360962 28.204392805
195 24.8450635714 18303.5906978 33.9826995538
200 24.8450635714 26623.8078537 40.7061073565
205 24.8450635714 34336.9967671 46.9389872866
210 24.8450635714 39725.1066879 51.2930155053
215 24.8450635714 42030.0746432 53.1556158733
220 24.8450635714 41695.9112909 52.8855848816
225 24.8450635714 39872.5678367 51.4121760297
230 24.8450635714 37712.2971775 49.6665027697
235 24.8450635714 35972.3497996 48.2604846865
240 24.8450635714 35029.4077339 47.4985113001
245 24.8450635714 35078.6775545 47.5383252966
250 24.8450635714 36178.2714365 48.4268860093
255 24.8450635714 38001.7383931 49.9003946611
260 24.8450635714 39687.7964901 51.2628658506
265 24.8450635714 40363.1393603 51.8085974629
270 24.8450635714 40107.549714 51.6020603749
275 24.8450635714 40236.985272 51.7066547653
280 24.8450635714 42337.1135667 53.4037281347
285 24.8450635714 46975.6756429 57.1520611256
290 24.8450635714 53398.6017324 62.3423044302
295 24.8450635714 60345.0483172 67.9555945998
300 24.8450635714 66999.9834622 73.3333199694
305 24.8450635714 73191.5263668 78.3365869631
310 24.8450635714 78879.5275997 82.9329515957
315 24.8450635714 83724.6850112 86.8482303121
320 24.8450635714 87273.8012651 89.7162030425
325 24.8450635714 89375.1680296 91.4142771956
330 24.8450635714 90151.789775 92.0418503233
335 24.8450635714 89638.0731632 91.6267257884
340 24.8450635714 87759.4633067 90.1086572175
345 24.8450635714 84719.9421814 87.6524785304
350 24.8450635714 81064.1817175 84.6983286606
355 24.8450635714 77123.9629512 81.5143134959
360 24.8450635714 72620.1417748 77.8748620403
365 24.8450635714 67073.3500784 73.3926061239
370 24.8450635714 60454.743602 68.0442372541
