x_um,y_um,contact_factor,sigma_s_m,k_w_mk
90.0,4.969012714285714,0.4213863864245509,42717.25225603054,53.71091091396407
95.0,4.969012714285714,0.42146689245529284,42725.222353073994,53.717351396423425
100.0,4.969012714285714,0.4116422809771944,41752.58581674225,52.93138247817555
105.0,4.969012714285714,0.39587038841596,40191.16845318004,51.669631073276804
110.0,4.969012714285714,0.3813152005481484,38750.20485426669,50.505216043851874
115.0,4.969012714285714,0.3719401840674971,37822.07822268221,49.75521472539977
120.0,4.969012714285714,0.36446747360060194,37082.27988645959,49.15739788804815
125.0,4.969012714285714,0.35167273559788553,35815.60082419067,48.13381884783084
130.0,4.969012714285714,0.3288550686515952,33556.651796507926,46.30840549212762
135.0,4.969012714285714,0.29572133303160875,30276.411970129266,43.6577066425287
140.0,4.969012714285714,0.2534394106350262,26090.50165286759,40.275152850802094
145.0,4.969012714285714,0.20319872950125528,21116.674220624274,36.255898360100424
150.0,4.969012714285714,0.14849320055958767,15700.82685539918,31.879456044767014
155.0,4.969012714285714,0.09640658138739243,10544.25155735185,27.712526510991395
160.0,4.969012714285714,0.05455703598940553,6401.146562951148,24.364562879152444
165.0,4.969012714285714,0.026789160557967703,3652.1268952388027,22.143132844637417
170.0,4.969012714285714,0.0121900814816015,2206.8180666785483,20.97520651852812
175.0,4.969012714285714,0.007713409708142205,1763.6275611060782,20.617072776651376
180.0,4.969012714285714,0.011287237225441758,2117.436485318734,20.90297897803534
185.0,4.969012714285714,0.02282171717510708,3259.3500003356007,21.82573737400857
190.0,4.969012714285714,0.04278860231084001,5236.071628773161,23.4230881848672
195.0,4.969012714285714,0.0698910898419211,7919.217894350189,25.59128718735369
200.0,4.969012714285714,0.10014639521729435,10914.493126512141,28.011711617383547
205.0,4.969012714285714,0.12856212795005195,13727.650667055143,30.284970236004156
210.0,4.969012714285714,0.1517235425916264,16020.630716571013,32.13788340733011
215.0,4.969012714285714,0.16837418993119516,17669.04480318832,33.46993519449561
220.0,4.969012714285714,0.1779089560755307,18612.98665147754,34.232716486042456
225.0,4.969012714285714,0.179909122887927,18811.00316590477,34.39272983103416
230.0,4.969012714285714,0.17614216812854502,18438.07464472596,34.0913734502836
235.0,4.969012714285714,0.17204372835606685,18032.329107250618,33.76349826848535
240.0,4.969012714285714,0.174631274678425,18288.496193164076,33.970501974274
245.0,4.969012714285714,0.188263142363502,19638.051093986698,35.06105138908016
250.0,4.969012714285714,0.21174354796271186,21962.611248308473,36.93948383701695
255.0,4.969012714285714,0.2380818723393918,24570.105361599788,39.04654978715134
260.0,4.969012714285714,0.2569278556306567,26435.85770743501,40.554228450452534
265.0,4.969012714285714,0.26005381680328626,26745.32786352534,40.8043053442629
270.0,4.969012714285714,0.24747853870682368,25500.375331975545,39.798283096545894
275.0,4.969012714285714,0.22831462818153905,23603.148189972366,38.26517025452313
280.0,4.969012714285714,0.21422825257581254,22208.597005005442,37.138260206065
