stage_id,i,j,nx,ny,nz,gap_um,overlap_um,force_x,force_y,force_z,normal_force,contact_point_x_um,contact_point_y_um,contact_point_z_um,source,force_unit
pilot_final,73,79,-0.483277738,0.000500008801,-0.875466949,-0.00045766119,0.000250652,0.285848,-1.07862,-0.125994,0.0283818369,336.581,13.0098,20.6203,liggghts_pair_gran_local,dyne
pilot_final,48,75,0.81846909,0.417138464,-0.395099799,-0.000239876107,0.0001598,-0.00155203,-0.00121115,0.000356313,0.00191628174,139.476,33.934,27.2748,liggghts_pair_gran_local,dyne
pilot_final,75,70,0.772333607,-0.503326439,0.38750909,0.000422362916,0.000145543,-0.0274438,-0.0104347,0.0368636,0.00165808907,160.157,32.8134,27.1762,liggghts_pair_gran_local,dyne
pilot_final,70,41,0.94572903,0.324952511,0.00157088667,-0.663990171,0.663922,-479.199,-193.182,27.8068,515.923454,182.177,30.3866,32.2338,liggghts_pair_gran_local,dyne
pilot_final,70,46,0.175480832,0.984482486,0.000844331276,-0.299187272,0.29907,-19.3386,-155.016,27.7533,155.980133,172.452,38.9211,32.2248,liggghts_pair_gran_local,dyne
pilot_final,41,46,-0.751630197,0.659584383,-0.000699424532,-0.121582552,0.122058,34.4026,-22.4637,-8.82302,40.6684037,184.433,43.0376,32.2447,liggghts_pair_gran_local,dyne
pilot_final,41,13,0.983674749,0.0586438402,-0.170131974,-0.307944482,0.307856,-352.607,-11.0117,-16.3358,344.717635,206.819,35.2579,30.064,liggghts_pair_gran_local,dyne
pilot_final,41,36,0.356056611,0.934456147,-0.00392416312,-0.669758364,0.669744,-201.043,-482.356,101.788,522.723053,198.667,46.3381,32.204,liggghts_pair_gran_local,dyne
pilot_final,46,85,-0.822969325,0.568078679,-0.00284681039,-0.28701246,0.286858,112.435,-95.2418,-38.8785,146.524875,164.127,58.8756,32.199,liggghts_pair_gran_local,dyne
pilot_final,46,24,0.102923909,0.99468274,-0.00359379864,-0.23339225,0.233366,-14.286,-106.582,7.99338,107.514537,176.033,64.3869,32.1893,liggghts_pair_gran_local,dyne
pilot_final,13,36,-0.685902915,0.708519051,0.165945612,-0.132657787,0.132746,59.9177,-81.7241,8.41273,97.6047831,212.055,49.0018,30.0062,liggghts_pair_gran_local,dyne
pilot_final,13,14,0.165077154,0.98627689,-0.00272578957,-0.0471145908,0.0470471,-129.499,-605.268,45.895,618.464536,227.317,54.0328,26.983,liggghts_pair_gran_local,dyne
pilot_final,1,64,-0.423177048,0.814570814,0.396731113,-0.225941047,0.225838,41.063,-221.173,-100.515,237.415366,265.281,54.155,27.0197,liggghts_pair_gran_local,dyne
pilot_final,15,85,0.785776694,-0.503363946,0.359415812,-0.198628314,0.198195,-137.129,65.1179,-104.434,178.065826,143.396,72.6809,27.5199,liggghts_pair_gran_local,dyne
pilot_final,15,23,0.943949504,-0.0458019643,-0.326896795,-0.186911077,0.186816,-165.917,-27.8447,23.2836,162.953445,146.231,80.864,15.2432,liggghts_pair_gran_local,dyne
pilot_final,15,69,-0.86205897,0.347614273,0.368807062,-0.541526848,0.541958,644.538,-321.506,-373.589,805.17416,114.097,87.8312,27.6145,liggghts_pair_gran_local,dyne
pilot_final,15,30,0.858674695,0.350971499,0.37349267,-0.339960578,0.339554,-352.795,-153.55,-113.728,399.304278,144.63,87.9316,27.741,liggghts_pair_gran_local,dyne
pilot_final,85,23,0.188718412,0.544666922,-0.817143381,-0.12547113,0.125516,-16.2618,-28.9911,28.8196,42.4090556,155.987,73.2256,21.5908,liggghts_pair_gran_local,dyne
pilot_final,23,30,-0.110888676,0.4892164,0.865084398,-1.11919062,1.11925,234.549,-584.158,-944.973,1129.26861,157.049,86.3582,21.7812,liggghts_pair_gran_local,dyne
pilot_final,23,33,0.877766263,0.478268966,0.0280211214,-0.658401747,0.658519,-442.451,-250.254,-56.3811,509.637951,169.551,86.3322,11.3743,liggghts_pair_gran_local,dyne
